order_id,region,product,quarter,amount
O0091,South,Doohickey,Q2,244.16
O0092,Highland,Widget,Q2,340.51
O0093,South,Gizmo,Q3,603.78
O0094,South,Gizmo,Q3,606.87
O0095,Coastal,Doohickey,Q3,507.88
O0096,West,Doohickey,Q4,616.04
O0097,East,Gizmo,Q4,502.18
O0098,North,Gizmo,Q3,204.96
O0099,Coastal,Doohickey,Q4,409.1
O0100,West,Doohickey,Q2,599.79
O0101,Central,Gizmo,Q1,740.21
O0102,West,Gizmo,Q2,729.78
O0103,East,Widget,Q1,235.46
O0104,Metro,Widget,Q4,384.71
O0105,West,Doohickey,Q4,371.69
O0106,East,Widget,Q1,705.01
O0107,West,Gadget,Q4,64.19
O0108,West,Widget,Q4,137.34
O0109,Metro,Gizmo,Q4,559.13
O0110,Highland,Doohickey,Q2,674.42
O0111,Metro,Doohickey,Q3,681.56
O0112,Central,Doohickey,Q2,261.65
O0113,South,Gizmo,Q2,259.11
O0114,Coastal,Widget,Q2,152.73
O0115,Highland,Gadget,Q2,76.52
O0116,Highland,Gizmo,Q4,385.88
O0117,West,Doohickey,Q4,816.26
O0118,North,Doohickey,Q4,25.19
O0119,Coastal,Gizmo,Q4,771.03
O0120,Highland,Gadget,Q4,213.09
O0121,Highland,Doohickey,Q1,362.19
O0122,Highland,Gadget,Q4,829.2
O0123,North,Doohickey,Q1,93.87
O0124,Highland,Gadget,Q4,179.92
O0125,Central,Doohickey,Q3,206.26
O0126,Coastal,Gizmo,Q4,264.87
O0127,Highland,Gizmo,Q1,433.87
O0128,North,Gizmo,Q2,592.13
O0129,North,Widget,Q2,195.44
O0130,North,Gadget,Q2,131.07
O0131,South,Gadget,Q4,635.53
O0132,Coastal,Gadget,Q1,704.46
O0133,East,Gizmo,Q1,529.24
O0134,Central,Doohickey,Q4,848.49
O0135,West,Widget,Q2,109.67
O0136,Central,Widget,Q1,325.54
O0137,Highland,Gizmo,Q1,465.25
O0138,Coastal,Widget,Q4,743.65
O0139,South,Doohickey,Q3,579.31
O0140,Metro,Gadget,Q4,175.0
O0141,Central,Doohickey,Q4,403.31
O0142,Central,Gizmo,Q2,751.04
O0143,South,Gizmo,Q4,234.6
O0144,Metro,Doohickey,Q3,45.26
O0145,Coastal,Gadget,Q4,206.67
O0146,Central,Gizmo,Q3,794.68
O0147,Central,Widget,Q2,95.34
O0148,Highland,Doohickey,Q2,627.74
O0149,Metro,Doohickey,Q1,101.89
O0150,West,Doohickey,Q2,289.46
O0151,Coastal,Doohickey,Q3,394.44
O0152,Coastal,Gizmo,Q4,258.41
O0153,Central,Gadget,Q1,654.73
O0154,Coastal,Widget,Q2,188.56
O0155,Metro,Gizmo,Q3,882.85
O0156,West,Gizmo,Q2,337.58
O0157,Central,Widget,Q2,261.39
O0158,North,Gizmo,Q2,581.33
O0159,Metro,Widget,Q1,525.18
O0160,Metro,Doohickey,Q4,319.82
O0161,North,Gizmo,Q4,120.4
O0162,South,Doohickey,Q4,85.19
O0163,North,Gadget,Q2,733.81
O0164,Central,Widget,Q2,124.24
O0165,Highland,Gadget,Q4,416.45
O0166,Metro,Gizmo,Q4,288.73
O0167,North,Widget,Q2,570.45
O0168,Central,Widget,Q2,231.08
O0169,South,Gadget,Q1,379.5
O0170,Metro,Gizmo,Q1,223.7
O0171,Central,Doohickey,Q1,624.9
O0172,Central,Gadget,Q4,121.0
O0173,West,Gadget,Q3,747.44
O0174,South,Widget,Q2,717.51
O0175,Central,Doohickey,Q1,432.45
O0176,Central,Doohickey,Q3,460.42
O0177,Metro,Doohickey,Q1,546.27
O0178,Highland,Gizmo,Q3,42.76
O0179,West,Widget,Q3,527.1
O0180,East,Doohickey,Q4,826.14
O0181,East,Doohickey,Q4,872.77
O0182,Metro,Gizmo,Q4,313.31
O0183,South,Gadget,Q3,382.25
O0184,Metro,Gizmo,Q4,735.94
O0185,North,Doohickey,Q1,296.78
O0186,Coastal,Widget,Q4,781.12
O0187,North,Doohickey,Q4,67.7
O0188,Coastal,Doohickey,Q4,688.79
O0189,West,Gizmo,Q2,836.35
O0190,Metro,Doohickey,Q1,45.41
O0191,West,Gadget,Q3,504.74
O0192,Highland,Widget,Q2,893.19
O0193,South,Doohickey,Q1,589.98
O0194,East,Doohickey,Q3,467.81
O0195,Central,Doohickey,Q4,882.62
O0196,West,Doohickey,Q2,357.56
O0197,East,Widget,Q3,699.95
O0198,Highland,Gizmo,Q3,742.08
O0199,Central,Gizmo,Q4,781.43
O0200,Metro,Doohickey,Q3,312.55
O0201,Highland,Doohickey,Q3,785.25
O0202,West,Doohickey,Q2,773.29
O0203,Highland,Widget,Q3,675.34
O0204,Highland,Doohickey,Q2,455.89
O0205,North,Gadget,Q3,785.34
O0206,Metro,Widget,Q4,33.51
O0207,East,Doohickey,Q2,85.85
O0208,Central,Gizmo,Q4,591.86
O0209,Coastal,Doohickey,Q3,571.58
O0210,Metro,Widget,Q1,226.6
O0211,Central,Gadget,Q1,401.89
O0212,South,Widget,Q4,166.4
O0213,Central,Widget,Q1,305.45
O0214,North,Gizmo,Q3,349.86
O0215,East,Gadget,Q4,518.02
O0216,East,Gadget,Q2,89.49
O0217,Highland,Gadget,Q4,823.29
O0218,East,Gadget,Q4,581.36
O0219,Metro,Gizmo,Q1,811.04
O0220,Metro,Gizmo,Q2,85.0
O0221,Coastal,Gizmo,Q4,627.48
O0222,Metro,Gizmo,Q2,899.45
O0223,Metro,Widget,Q2,355.6
O0224,Coastal,Gizmo,Q3,39.31
O0225,Highland,Gizmo,Q1,518.02
O0226,North,Doohickey,Q3,702.65
O0227,West,Gizmo,Q2,580.22
O0228,Central,Gadget,Q1,815.0
O0229,North,Gizmo,Q4,49.36
O0230,Coastal,Gadget,Q1,820.47
O0231,Coastal,Doohickey,Q2,196.7
O0232,Coastal,Gizmo,Q2,246.13
O0233,Metro,Gizmo,Q3,727.72
O0234,Metro,Widget,Q2,683.65
O0235,West,Doohickey,Q3,99.47
O0236,Highland,Widget,Q3,492.18
O0237,Metro,Gizmo,Q3,534.41
O0238,Coastal,Widget,Q2,434.9
O0239,Coastal,Gadget,Q1,579.16
O0240,Metro,Gizmo,Q4,122.67
